registro_sistema,titulo,sub_titulo,assunto,autor,tipo_material,quantidade,ano,edicao,editora,isbn,issn,id_exemplar,codigo_barras,colecao,biblioteca,status_material,localizacao,texto_busca
3162,Projeto de sistemas de processamento de dados /,,Processamento eletrônico de dados.#$&Projeto de sistemas.,"Dias, Donaldo de Souza, ",Livro,4,1975.,,"Livros Técnicos e Científicos,",8521602103,,1275854,2017035532,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 D541p,projeto de sistemas de processamento de dados / nan processamento eletrônico de dados.#$&projeto de sistemas.
5168,Programação Fortran para estudantes de ciências e engenharia /,,FORTRAN (Linguagem de programação de computador)#$&Informática.,"Dias, Donaldo de Souza, ",Livro,4,1973.,2. ed. -,"Livros Técnicos,",,,1243564,2016034352,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.451.9 D541p 2.ed.,programação fortran para estudantes de ciências e engenharia / nan fortran (linguagem de programação de computador)#$&informática.
5242,Introdução a sistemas de bancos de dados /,,Banco de dados.,"Date, C. J.",Livro,20,1986.,4. ed. -,"Campus,",8570013922,,945548,2000010861,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.6 D232i 4.ed.,introdução a sistemas de bancos de dados / nan banco de dados.
5340,Algoritmos e estruturas de dados /,,Algoritmos.#$&Linguagem de programação (Computadores).#$&Estruturas de dados (Computação)#$&Computação.#$&Portugol (Linguagem de programação para computadores).,"Guimarães, Angelo de Moura",Livro,13,c1985.,1. ed. -,"Livros Técnicos e Científicos,",8521603789,,1317896,2019007164,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.422.63 G963a,algoritmos e estruturas de dados / nan algoritmos.#$&linguagem de programação (computadores).#$&estruturas de dados (computação)#$&computação.#$&portugol (linguagem de programação para computadores).
5710,Engenharia econômica :,cem tabelas de juros impressas em computadores /,Engenharia econômica.,"Hess, Geraldo.",Livro,4,1986.,,"Difel,",,,1323098,2019014528,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,330 E57 19.ed.,engenharia econômica : cem tabelas de juros impressas em computadores / engenharia econômica.
8533,Pascal e técnicas de programação /,,PASCAL (Linguagem de programação de computador),"Schmitz, Eber Assis.",Livro,4,1988.,3. ed. -,"Livros Tecnicos  e cientificos,",,,1257286,2017014111,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.3 S355p 3.ed,pascal e técnicas de programação / nan pascal (linguagem de programação de computador)
8537,"PC-DOS, MS-DOS :",guia do usuário /,MS-DOS (Sistema operacional de computador)#$&PC-DOS (Sistema operacional de computador),"Sheldon, Thomas.",Livro,2,1987.,,"Hill,",,,1271604,2017030417,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.451 S544p,"pc-dos, ms-dos : guia do usuário / ms-dos (sistema operacional de computador)#$&pc-dos (sistema operacional de computador)"
8572,Circuitos digitais e microprocessadores /,,Microprocessadores.#$&Computadores digitais -#$&Circuitos.,"Taub, Herbert ",Livro,12,c1984.,,"McGraw-Hill,",0074504444,,1320805,2019011630,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 T222c,circuitos digitais e microprocessadores / nan microprocessadores.#$&computadores digitais -#$&circuitos.
8587,Turbo C avançado :,guia do usuário /,Turbo C (Linguagem de programação de computador)#$&Programação (Computadores).,"Schildt, Herbert, ",Livro,5,1990.,,"McGrawHill,",,,1102215,2014008157,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 S334t,turbo c avançado : guia do usuário / turbo c (linguagem de programação de computador)#$&programação (computadores).
8706,Administrando o ciclo de vida do sistema /,,Programação (Computadores).#$&Software -#$&Desenvolvimento.#$&Processamento eletrônico de dados.,"Yourdon, Edward,",Livro,3,1989.,,"Campus,",8570015704,,1259172,2017017043,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 Y81a,administrando o ciclo de vida do sistema / nan programação (computadores).#$&software -#$&desenvolvimento.#$&processamento eletrônico de dados.
